path,class,split
Blip/glitch_0.png,Blip,train
Blip/glitch_1.png,Blip,train
Blip/glitch_100.png,Blip,train
Blip/glitch_1000.png,Blip,train
Blip/glitch_1002.png,Blip,train
Blip/glitch_1004.png,Blip,train
Blip/glitch_1005.png,Blip,train
Blip/glitch_1006.png,Blip,train
Blip/glitch_1007.png,Blip,train
Blip/glitch_1008.png,Blip,train
Blip/glitch_1009.png,Blip,train
Blip/glitch_101.png,Blip,train
Blip/glitch_1011.png,Blip,train
Blip/glitch_1012.png,Blip,train
Blip/glitch_1017.png,Blip,train
Blip/glitch_1018.png,Blip,train
Blip/glitch_1019.png,Blip,train
Blip/glitch_1020.png,Blip,train
Blip/glitch_1021.png,Blip,train
Blip/glitch_1022.png,Blip,train
Blip/glitch_1023.png,Blip,train
Blip/glitch_1024.png,Blip,train
Blip/glitch_1025.png,Blip,train
Blip/glitch_1026.png,Blip,train
Blip/glitch_1027.png,Blip,train
Blip/glitch_1029.png,Blip,train
Blip/glitch_1030.png,Blip,train
Blip/glitch_1032.png,Blip,train
Blip/glitch_1033.png,Blip,train
Blip/glitch_1034.png,Blip,train
Blip/glitch_1036.png,Blip,train
Blip/glitch_1037.png,Blip,train
Blip/glitch_1039.png,Blip,train
Blip/glitch_1040.png,Blip,train
Blip/glitch_1041.png,Blip,train
Blip/glitch_1042.png,Blip,train
Blip/glitch_1044.png,Blip,train
Blip/glitch_1046.png,Blip,train
Blip/glitch_1047.png,Blip,train
Blip/glitch_1048.png,Blip,train
Blip/glitch_1049.png,Blip,train
Blip/glitch_105.png,Blip,train
Blip/glitch_1050.png,Blip,train
Blip/glitch_1052.png,Blip,train
Blip/glitch_1054.png,Blip,train
Blip/glitch_1056.png,Blip,train
Blip/glitch_1057.png,Blip,train
Blip/glitch_1059.png,Blip,train
Blip/glitch_106.png,Blip,train
Blip/glitch_1060.png,Blip,train
Blip/glitch_1062.png,Blip,train
Blip/glitch_1064.png,Blip,train
Blip/glitch_1065.png,Blip,train
Blip/glitch_1069.png,Blip,train
Blip/glitch_107.png,Blip,train
Blip/glitch_1070.png,Blip,train
Blip/glitch_1071.png,Blip,train
Blip/glitch_1072.png,Blip,train
Blip/glitch_1079.png,Blip,train
Blip/glitch_108.png,Blip,train
Blip/glitch_1080.png,Blip,train
Blip/glitch_1082.png,Blip,train
Blip/glitch_1084.png,Blip,train
Blip/glitch_1085.png,Blip,train
Blip/glitch_1087.png,Blip,train
Blip/glitch_1088.png,Blip,train
Blip/glitch_1089.png,Blip,train
Blip/glitch_109.png,Blip,train
Blip/glitch_1090.png,Blip,train
Blip/glitch_1091.png,Blip,train
Blip/glitch_1092.png,Blip,train
Blip/glitch_1093.png,Blip,train
Blip/glitch_1094.png,Blip,train
Blip/glitch_1095.png,Blip,train
Blip/glitch_1097.png,Blip,train
Blip/glitch_1098.png,Blip,train
Blip/glitch_1099.png,Blip,train
Blip/glitch_11.png,Blip,train
Blip/glitch_110.png,Blip,train
Blip/glitch_1100.png,Blip,train
Blip/glitch_1101.png,Blip,train
Blip/glitch_1102.png,Blip,train
Blip/glitch_1103.png,Blip,train
Blip/glitch_1104.png,Blip,train
Blip/glitch_1105.png,Blip,train
Blip/glitch_1106.png,Blip,train
Blip/glitch_1107.png,Blip,train
Blip/glitch_1109.png,Blip,train
Blip/glitch_1110.png,Blip,train
Blip/glitch_1111.png,Blip,train
Blip/glitch_1114.png,Blip,train
Blip/glitch_1115.png,Blip,train
Blip/glitch_1116.png,Blip,train
Blip/glitch_1118.png,Blip,train
Blip/glitch_1119.png,Blip,train
Blip/glitch_1120.png,Blip,train
Blip/glitch_1122.png,Blip,train
Blip/glitch_1123.png,Blip,train
Blip/glitch_1126.png,Blip,train
Blip/glitch_1127.png,Blip,train
Blip/glitch_1128.png,Blip,train
Blip/glitch_1129.png,Blip,train
Blip/glitch_1131.png,Blip,train
Blip/glitch_1134.png,Blip,train
Blip/glitch_1135.png,Blip,train
Blip/glitch_1139.png,Blip,train
Blip/glitch_114.png,Blip,train
Blip/glitch_1142.png,Blip,train
Blip/glitch_1143.png,Blip,train
Blip/glitch_1144.png,Blip,train
Blip/glitch_1145.png,Blip,train
Blip/glitch_1146.png,Blip,train
Blip/glitch_1148.png,Blip,train
Blip/glitch_1149.png,Blip,train
Blip/glitch_115.png,Blip,train
Blip/glitch_1150.png,Blip,train
Blip/glitch_1151.png,Blip,train
Blip/glitch_1152.png,Blip,train
Blip/glitch_1153.png,Blip,train
Blip/glitch_1154.png,Blip,train
Blip/glitch_1155.png,Blip,train
Blip/glitch_1158.png,Blip,train
Blip/glitch_116.png,Blip,train
Blip/glitch_1160.png,Blip,train
Blip/glitch_1161.png,Blip,train
Blip/glitch_1162.png,Blip,train
Blip/glitch_1163.png,Blip,train
Blip/glitch_1164.png,Blip,train
Blip/glitch_1167.png,Blip,train
Blip/glitch_1168.png,Blip,train
Blip/glitch_1170.png,Blip,train
Blip/glitch_1173.png,Blip,train
Blip/glitch_1174.png,Blip,train
Blip/glitch_1176.png,Blip,train
Blip/glitch_1177.png,Blip,train
Blip/glitch_1178.png,Blip,train
Blip/glitch_1179.png,Blip,train
Blip/glitch_118.png,Blip,train
Blip/glitch_1180.png,Blip,train
Blip/glitch_1181.png,Blip,train
Blip/glitch_1182.png,Blip,train
Blip/glitch_1183.png,Blip,train
Blip/glitch_1185.png,Blip,train
Blip/glitch_1186.png,Blip,train
Blip/glitch_1188.png,Blip,train
Blip/glitch_119.png,Blip,train
Blip/glitch_1191.png,Blip,train
Blip/glitch_1193.png,Blip,train
Blip/glitch_1194.png,Blip,train
Blip/glitch_1195.png,Blip,train
Blip/glitch_1196.png,Blip,train
Blip/glitch_1197.png,Blip,train
Blip/glitch_1198.png,Blip,train
Blip/glitch_1199.png,Blip,train
Blip/glitch_12.png,Blip,train
Blip/glitch_120.png,Blip,train
Blip/glitch_1201.png,Blip,train
Blip/glitch_1202.png,Blip,train
Blip/glitch_1203.png,Blip,train
Blip/glitch_1204.png,Blip,train
Blip/glitch_1205.png,Blip,train
Blip/glitch_1206.png,Blip,train
Blip/glitch_1207.png,Blip,train
Blip/glitch_1208.png,Blip,train
Blip/glitch_1209.png,Blip,train
Blip/glitch_121.png,Blip,train
Blip/glitch_1211.png,Blip,train
Blip/glitch_1212.png,Blip,train
Blip/glitch_1213.png,Blip,train
